Day,Mean_Price,Upper_Bound,Lower_Bound
0,24696.0,24696.0,24696.0
1,24760.2259899252,25432.16268872629,24211.469526774184
2,24822.83409883045,25743.475133513606,23975.688405773293
3,24869.020981017627,25942.33360064397,23861.877716977408
4,24921.059483168992,26282.869458589917,23748.909668416512
5,24948.194183147556,26345.32055135956,23631.846719556717
6,25005.082957832637,26675.917192056066,23500.589042718744
7,25043.621614193795,26822.41370818043,23393.455095405137
8,25078.0213638388,26940.322481640458,23436.412508308615
9,25136.04630696139,27057.21927824267,23395.445014832036
10,25163.314922276706,27282.293360119398,23293.491554865654
11,25225.896318334384,27440.24443378002,23252.67897404925
12,25265.862519976763,27753.711413285622,23096.28645358732
13,25326.641962408947,27831.725783388825,23029.65225167346
14,25353.36539300467,28089.982443815617,22955.385596018434
15,25381.127852466077,28157.898242498428,22994.303664922354
16,25428.012560722087,28226.024461772715,22980.8612923925
17,25476.08677034971,28458.280459407193,22952.14162877292
18,25513.991152679027,28509.969839255333,22957.372470712373
19,25561.080283136653,28663.829179445576,22939.302969566896
20,25621.3863855336,28778.677034780325,22933.970918322026
21,25683.963603938948,28814.23510278289,22921.827447799238
22,25734.62675354599,29012.309440627036,22944.786373963958
23,25781.69383931796,29162.04159860865,22837.279769684803
24,25798.06803482784,29072.015320776565,22785.85221101771
25,25853.239998912934,29195.184994070798,22828.493244110814
26,25892.78930944759,29231.588481008035,22915.93330582798
27,25952.767268775726,29511.765210868016,22872.091947467095
28,26018.59948139851,29676.974497920568,22837.057770171283
29,26058.83898730321,29892.378409893234,22752.89528546828
30,26112.801304621997,30106.04700697174,22742.38967475573
31,26160.001935420216,30231.673147862264,22715.658008265065
32,26208.440064665105,30144.006704055177,22573.62736644858
33,26266.347805379886,30170.061753446204,22651.96974121116
34,26305.223764186452,30356.796081506996,22575.302996326463
35,26333.727968777086,30414.63599518062,22588.900371120548
36,26365.341495667217,30376.275504630677,22601.25059519069
37,26408.49020564007,30477.31253056348,22536.054554506198
38,26442.743619864876,30723.067277815433,22558.411422736834
39,26484.60544054635,30722.898350172152,22495.76318671226
40,26546.22544253217,31095.886903436945,22639.934549433034
41,26587.863613695114,31081.952080854735,22513.0397339215
42,26647.971668819144,31125.997116483864,22497.53062040627
43,26713.98875341197,31384.513623153238,22516.34976191605
44,26763.248512429356,31431.795424351636,22660.75427670843
45,26817.94550537209,31502.897722383288,22645.566015128454
46,26887.270660746362,31765.84741222311,22564.2679075341
47,26950.13562116421,31771.8038551218,22528.074467674225
48,27024.212267853996,32150.13244283011,22433.14005598941
49,27083.04533335649,32186.258372290384,22466.188044657123
50,27151.013005306704,32247.462547816787,22564.304909182043
51,27208.089524918447,32378.93840178742,22519.890554222715
52,27270.533413325655,32368.20335823197,22494.885725724722
53,27296.945471487994,32400.17079751304,22512.367191087033
54,27353.622047506888,32607.037802086063,22530.181649435017
55,27395.92883276053,32648.952609465294,22634.062651601955
56,27456.121548465624,32672.254616231225,22660.15548589919
57,27524.11710901331,32854.27324423636,22502.504482517994
58,27566.366137510377,32912.44990026231,22527.181708679844
59,27650.371736526693,33200.761412861415,22572.010480172245
60,27742.456325096096,33310.84149661459,22595.966830770372
