Date,Action,Price,Quantity,Cash
2023-01-24,Buy,20583.0,485.0,17245.0
2023-01-26,Sell,20992.0,485.0,10198365.0
2023-02-06,Buy,19050.0,535.0,6615.0
2023-02-07,Sell,19582.0,535.0,10482985.0
2023-02-10,Buy,18876.0,555.0,6805.0
2023-02-13,Sell,18912.0,555.0,10502965.0
2023-02-15,Buy,18090.0,580.0,10765.0
2023-02-16,Sell,18232.0,580.0,10585325.0
2023-02-24,Buy,16382.0,646.0,2553.0
2023-03-03,Sell,17264.0,646.0,11155097.0
2023-03-07,Buy,16953.0,658.0,23.0
2023-03-08,Sell,17028.0,658.0,11204447.0
2023-03-09,Buy,16951.0,660.0,16787.0
2023-03-13,Sell,19571.0,660.0,12933647.0
2023-03-14,Buy,19289.0,670.0,10017.0
2023-03-28,Sell,24103.0,670.0,16159027.0
2023-03-29,Buy,24020.0,672.0,17587.0
2023-03-30,Sell,24342.0,672.0,16375411.0
2023-03-31,Buy,23700.0,690.0,22411.0
2023-04-18,Sell,28516.0,690.0,19698451.0
2023-04-19,Buy,27685.0,711.0,14416.0
2023-04-24,Sell,28400.0,711.0,20206816.0
2023-04-25,Buy,28358.0,712.0,15920.0
2023-04-26,Sell,28712.0,712.0,20458864.0
2023-04-28,Buy,28405.0,720.0,7264.0
2023-05-05,Sell,29677.0,720.0,21374704.0
2023-05-08,Buy,30712.0,695.0,29864.0
2023-05-09,Sell,31225.0,695.0,21731239.0
2023-05-16,Buy,29999.0,724.0,11963.0
2023-05-17,Sell,30147.0,724.0,21838391.0
2023-05-19,Buy,29449.0,741.0,16682.0
2023-05-22,Sell,29775.0,741.0,22079957.0
2023-05-24,Buy,28750.0,767.0,28707.0
2023-05-25,Sell,28995.0,767.0,22267872.0
2023-05-26,Buy,28930.0,769.0,20702.0
2023-05-30,Sell,29000.0,769.0,22321702.0
2023-05-31,Buy,30150.0,740.0,10702.0
2023-06-02,Sell,30940.0,740.0,22906302.0
2023-06-06,Buy,30279.0,756.0,15378.0
2023-06-07,Sell,30834.0,756.0,23325882.0
2023-06-15,Buy,27559.0,846.0,10968.0
2023-06-19,Sell,27925.0,846.0,23635518.0
2023-06-22,Buy,26107.0,905.0,8683.0
2023-06-23,Sell,26894.0,905.0,24347753.0
2023-06-28,Buy,25560.0,952.0,14633.0
2023-06-30,Sell,26164.0,952.0,24922761.0
2023-07-04,Buy,25912.0,961.0,21329.0
2023-07-05,Sell,25977.0,961.0,24985226.0
2023-07-10,Buy,24947.0,1001.0,13279.0
2023-07-18,Sell,28547.0,1001.0,28588826.0
2023-07-24,Buy,27327.0,1046.0,4784.0
2023-07-26,Sell,27568.0,1046.0,28840912.0
2023-07-28,Buy,26980.0,1068.0,26272.0
2023-07-31,Sell,27491.0,1068.0,29386660.0
2023-08-02,Buy,24826.0,1183.0,17502.0
2023-08-08,Sell,25013.0,1183.0,29607881.0
2023-08-10,Buy,24522.0,1207.0,9827.0
2023-08-11,Sell,24755.0,1207.0,29889112.0
