Date,Action,Price,Quantity,Cash
2020-01-22,Buy,10.5,952.0,4.0
2020-01-23,Sell,10.75,952.0,10238.0
2020-01-24,Buy,10.5,975.0,0.5
2020-01-27,Sell,11.125,975.0,10847.375
2020-01-28,Buy,10.625,1020.0,9.875
2020-01-30,Sell,10.975000381469727,1020.0,11204.375389099121
2020-02-06,Buy,10.800000190734863,1037.0,4.775191307067871
2020-02-13,Sell,12.0,1037.0,12448.775191307068
2020-02-17,Buy,11.850000381469727,1050.0,6.2747907638549805
2020-02-19,Sell,12.399999618530273,1050.0,13026.274390220642
2020-02-20,Buy,12.25,1063.0,4.52439022064209
2020-02-25,Sell,12.100000381469727,1063.0,12866.824795722961
2020-02-28,Buy,9.25,1391.0,0.07479572296142578
2020-03-04,Sell,11.0,1391.0,15301.074795722961
2020-03-05,Buy,11.375,1345.0,1.6997957229614258
2020-03-06,Sell,10.75,1345.0,14460.449795722961
2020-03-09,Buy,9.5,1522.0,1.4497957229614258
2020-03-11,Sell,10.5,1522.0,15982.449795722961
2020-03-12,Buy,9.0,1775.0,7.449795722961426
2020-03-13,Sell,9.100000381469727,1775.0,16159.950472831726
2020-03-16,Buy,6.849999904632568,2359.0,0.8006978034973145
2020-03-24,Sell,10.5,2359.0,24770.300697803497
2020-03-27,Buy,8.899999618530273,2783.0,1.601759433746338
2020-03-30,Sell,9.149999618530273,2783.0,25466.050697803497
2020-04-01,Buy,8.649999618530273,2944.0,0.45182085037231445
2020-04-06,Sell,9.600000381469727,2944.0,28262.852943897247
2020-04-08,Buy,9.0,3140.0,2.8529438972473145
2020-04-15,Sell,12.125,3140.0,38075.35294389725
2020-04-21,Buy,11.0,3461.0,4.3529438972473145
2020-04-22,Sell,11.25,3461.0,38940.60294389725
2020-04-23,Buy,11.199999809265137,3476.0,9.40360689163208
2020-04-24,Sell,11.25,3476.0,39114.40360689163
2020-05-05,Buy,11.0,3555.0,9.40360689163208
2020-05-14,Sell,11.0,3555.0,39114.40360689163
2020-05-15,Buy,11.100000381469727,3523.0,9.1022629737854
2020-05-22,Sell,11.75,3523.0,41404.352262973785
2020-05-29,Buy,10.949999809265137,3781.0,2.402984142303467
2020-06-02,Sell,11.5,3781.0,43483.9029841423
2020-06-03,Buy,11.0,3953.0,0.9029841423034668
2020-06-04,Sell,11.300000190734863,3953.0,44669.80373811722
2020-06-08,Buy,10.975000381469727,4070.0,1.5521855354309082
2020-06-16,Sell,11.5,4070.0,46806.55218553543
2020-06-18,Buy,11.25,4160.0,6.552185535430908
2020-06-24,Sell,12.75,4160.0,53046.55218553543
2020-06-25,Buy,11.899999618530273,4457.0,8.253885746002197
2020-06-29,Sell,13.25,4457.0,59063.503885746
2020-07-02,Buy,13.5,4375.0,1.0038857460021973
2020-07-03,Sell,14.0,4375.0,61251.003885746
2020-07-07,Buy,13.25,4622.0,9.503885746002197
2020-07-22,Sell,16.25,4622.0,75117.003885746
2020-07-24,Buy,15.75,4769.0,5.253885746002197
2020-07-27,Sell,17.0,4769.0,81078.253885746
2020-07-30,Buy,15.25,5316.0,9.253885746002197
2020-07-31,Sell,15.75,5316.0,83736.253885746
2020-08-03,Buy,15.300000190734863,5472.0,14.652842044830322
2020-08-06,Sell,16.75,5472.0,91670.65284204483
2020-08-07,Buy,16.75,5472.0,14.652842044830322
2020-08-13,Sell,16.25,5472.0,88934.65284204483
2020-08-14,Buy,15.75,5646.0,10.152842044830322
2020-08-18,Sell,17.25,5646.0,97403.65284204483
2020-08-21,Buy,16.5,5903.0,4.152842044830322
2020-08-25,Sell,17.299999237060547,5903.0,102126.04833841324
2020-08-28,Buy,16.200000762939453,6304.0,1.2435288429260254
2020-09-01,Sell,17.149999618530273,6304.0,108114.84112405777
2020-09-02,Buy,16.75,6454.0,10.341124057769775
2020-09-04,Sell,17.299999237060547,6454.0,111664.53620004654
2020-09-07,Buy,16.875,6617.0,2.6612000465393066
2020-09-16,Sell,19.0,6617.0,125725.66120004654
2020-09-17,Buy,18.25,6889.0,1.4112000465393066
2020-09-18,Sell,18.75,6889.0,129170.16120004654
2020-09-21,Buy,18.0,7176.0,2.1612000465393066
2020-09-22,Sell,17.399999618530273,7176.0,124864.55846261978
2020-09-25,Buy,16.75,7454.0,10.058462619781494
2020-09-28,Sell,17.5,7454.0,130455.05846261978
2020-09-30,Buy,17.25,7562.0,10.558462619781494
2020-10-01,Sell,18.0,7562.0,136126.55846261978
2020-10-02,Buy,17.899999618530273,7604.0,14.961363315582275
2020-10-09,Sell,19.25,7604.0,146391.96136331558
2020-10-12,Buy,19.0,7704.0,15.961363315582275
2020-10-15,Sell,20.25,7704.0,156021.96136331558
2020-10-23,Buy,16.600000381469727,9398.0,15.157778263092041
2020-10-26,Sell,16.575000762939453,9398.0,155787.01494836807
2020-10-30,Buy,15.050000190734863,10351.0,4.4629740715026855
2020-11-02,Sell,15.125,10351.0,156563.3379740715
2020-11-04,Buy,15.75,9940.0,8.337974071502686
2020-11-06,Sell,18.100000381469727,9940.0,179922.34176588058
2020-11-12,Buy,15.5,11607.0,13.841765880584717
2020-11-13,Sell,15.75,11607.0,182824.09176588058
2020-11-17,Buy,15.375,11890.0,15.341765880584717
2020-11-19,Sell,14.550000190734863,11890.0,173014.8440337181
2020-11-23,Buy,13.75,12582.0,12.34403371810913
2020-11-25,Sell,13.5,12582.0,169869.3440337181
2020-12-01,Buy,14.800000190734863,11477.0,9.741844654083252
2020-12-04,Sell,15.75,11477.0,180772.49184465408
2020-12-11,Buy,14.0,12912.0,4.491844654083252
2020-12-21,Sell,16.600000381469727,12912.0,214343.6967701912
2020-12-24,Buy,16.625,12892.0,14.196770191192627
2020-12-29,Sell,17.0,12892.0,219178.1967701912
2020-12-30,Buy,16.75,13085.0,4.446770191192627
2020-12-31,Sell,17.0,13085.0,222449.4467701912
2021-01-04,Buy,17.75,12532.0,6.446770191192627
2021-01-06,Sell,18.899999618530273,12532.0,236861.24198961258
2021-01-11,Buy,16.75,14140.0,16.241989612579346
2021-01-12,Sell,17.200000762939453,14140.0,243224.25277757645
2021-01-13,Buy,17.0,14307.0,5.252777576446533
2021-01-14,Sell,16.600000381469727,14307.0,237501.45823526382
